rank,restaurant_name,location,address,ratings,lat_long,lat,long,link
90,La Trompette,London,"5-7 Devonshire Road, Chiswick, London, W4 2EU",4.6,"(51.4920787, -0.2559853)",51.4920787,-0.2559853,https://www.leadingrestaurants.co.uk/restaurants/la-trompette-w4-2eu/
91,Crab House Cafe,Wyke Regis,"Ferrymans Way, Portland Road, Wyke Regis, DT4 9YU",4.7,"(50.585807,-2.4743774)",50.585807,-2.4743774,https://www.leadingrestaurants.co.uk/restaurants/crab-house-cafe-dt4-9yu/
92,Joro,Sheffield,"294 Shalesmoor, Sheffield, S3 8US",4.7,"(53.3882439, -1.4758496)",53.3882439,-1.4758496,https://www.leadingrestaurants.co.uk/restaurants/joro-s3-8ul/
93,Kahani,London,"1 Wilbraham Place, London, SW1X 9AE",4.4,"(51.494070,-0.1573070)",51.49407,-0.157307,https://www.leadingrestaurants.co.uk/restaurants/kahani-sw1x-9ae/
94,Ormer Mayfair,London,"7-12 Half Moon Street, Mayfair, London, W1J 7BH",4.7,"(51.5059517, -0.144664)",51.5059517,-0.144664,https://www.leadingrestaurants.co.uk/restaurants/ormer-mayfair-w1j-7bh/
95,Box Tree,Ilkley,"35-37 Church Street, Ilkley, LS29 9DR",4.7,"(53.9261027, -1.8257323)",53.9261027,-1.8257323,https://www.leadingrestaurants.co.uk/restaurants/box-tree-ls29-9dr/
96,The Barbary,London,"16 Neal's Yard, Bloomsbury, London, WC2H 9DP",4.6,"(51.5144072, -0.1261845)",51.5144072,-0.1261845,https://www.leadingrestaurants.co.uk/restaurants/the-barbary-wc2h-9dp/
97,John's House,Mountsorrel,"139-141 Loughborough Road, Mountsorrel, LE12 7AR",4.9,"(52.732871,-1.1458913)",52.732871,-1.1458913,https://www.leadingrestaurants.co.uk/restaurants/johns-house-le12-7ar/
98,Pollen Street Social,London,"8-10 Pollen Street, London, W1S 1NQ",4.6,"(51.513361, -0.1422525)",51.513361,-0.1422525,https://www.leadingrestaurants.co.uk/restaurants/pollen-street-social-w1s-1nq/
99,The Small Holding,Cranbrook,"Ranters Lane, Kilndown, Cranbrook, TN17 2SG",4.6,"(51.092071,0.4276332)",51.092071,0.4276332,https://www.leadingrestaurants.co.uk/restaurants/the-small-holding-tn17-2sg/
100,Trishna,London,"15-17 Blandford Street, London, W1U 3DG",4.3,"(51.5183432, -0.1530705)",51.5183432,-0.1530705,https://www.leadingrestaurants.co.uk/restaurants/trishna-w1u-3dg/
